uncertainty,type,aQGC,FakeLep,FakePho,Top,VV,VVV,VG
lumi_18,lnN,1.015,,1.015,1.015,1.015,1.015,1.015
lumi_fullrun2,lnN,1.02,,1.02,1.02,1.02,1.02,1.02
lumi_1718,lnN,1.002,,1.002,1.002,1.002,1.002,1.002
jesTotal_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
jer_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
fakerate_18Sta,lnN,,auto_cal,,,,,
fakerate_18Ele,lnN,,auto_cal,,,,,
fakerate_18Mu,lnN,,auto_cal,,,,,
FakePho_mc,lnN,,,auto_cal,,,,
FakePho_closure,lnN,,,auto_cal,,,,
FakePho_iso,lnN,,,auto_cal,,,,
FakePho_sta_18,lnN,,,auto_cal,,,,
HLT_method_sys,lnN,1.01,,,1.01,1.01,1.01,1.01
HLT_sta_18,lnN,1.002,,,1.002,1.002,1.002,1.002
photon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
muon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
pileup,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
aQGC_stat_18,lnN,auto_cal,,,,,,
FakeLep_stat_18,lnN,,auto_cal,,,,,
FakePho_stat_18,lnN,,,auto_cal,,,,
Top_stat_18,lnN,,,,auto_cal,,,
VV_stat_18,lnN,,,,,auto_cal,,
VVV_stat_18,lnN,,,,,,auto_cal,
VG_stat_18,lnN,,,,,,,auto_cal
WZG_scale,lnN,auto_cal,,,,,,
WZG_pdf,lnN,auto_cal,,,,,,
WZG_PSWeight_isr,lnN,auto_cal,,,,,,
WZG_PSWeight_fsr,lnN,auto_cal,,,,,,
Top_scale,lnN,,,,auto_cal,,,
Top_pdf,lnN,,,,auto_cal,,,
Top_PSWeight_isr,lnN,,,,auto_cal,,,
Top_PSWeight_fsr,lnN,,,,auto_cal,,,
btagWeight_bc_corr,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
btagWeight_l_corr,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
btagWeight_bc_uncorr_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
btagWeight_l_uncorr_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
VV_Norm,rateParam,*,VV,1.0,[0.2]
